Region,Offset,Motif,Count,Total
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_13,106,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_14,8,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_15,69,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_16,100,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_17,45,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_18,55,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_19,57,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_20,76,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_21,119,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_22,67,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_23,101,155
FG-dDMR_FG-siren,±2.0kb,FG-dDMR_24,108,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_01,152,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_02,82,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_03,104,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_04,40,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_05,48,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_06,39,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_07,73,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_08,104,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_09,80,155
FG-dDMR_FG-siren,±2.0kb,FG-siren_10,80,155
FG-dDMR_only,±0.0kb,FG-dDMR_01,94,510
FG-dDMR_only,±0.0kb,FG-dDMR_02,0,510
FG-dDMR_only,±0.0kb,FG-dDMR_03,1,510
FG-dDMR_only,±0.0kb,FG-dDMR_04,7,510
FG-dDMR_only,±0.0kb,FG-dDMR_05,72,510
FG-dDMR_only,±0.0kb,FG-dDMR_06,1,510
FG-dDMR_only,±0.0kb,FG-dDMR_07,0,510
FG-dDMR_only,±0.0kb,FG-dDMR_08,99,510
FG-dDMR_only,±0.0kb,FG-dDMR_09,16,510
FG-dDMR_only,±0.0kb,FG-dDMR_10,1,510
FG-dDMR_only,±0.0kb,FG-dDMR_11,21,510
FG-dDMR_only,±0.0kb,FG-dDMR_12,60,510
FG-dDMR_only,±0.0kb,FG-dDMR_13,56,510
FG-dDMR_only,±0.0kb,FG-dDMR_14,0,510
FG-dDMR_only,±0.0kb,FG-dDMR_15,1,510
FG-dDMR_only,±0.0kb,FG-dDMR_16,12,510
FG-dDMR_only,±0.0kb,FG-dDMR_17,3,510
FG-dDMR_only,±0.0kb,FG-dDMR_18,1,510
FG-dDMR_only,±0.0kb,FG-dDMR_19,4,510
FG-dDMR_only,±0.0kb,FG-dDMR_20,2,510
FG-dDMR_only,±0.0kb,FG-dDMR_21,36,510
FG-dDMR_only,±0.0kb,FG-dDMR_22,18,510
FG-dDMR_only,±0.0kb,FG-dDMR_23,108,510
FG-dDMR_only,±0.0kb,FG-dDMR_24,55,510
FG-dDMR_only,±0.0kb,FG-siren_01,11,510
FG-dDMR_only,±0.0kb,FG-siren_02,1,510
FG-dDMR_only,±0.0kb,FG-siren_03,88,510
FG-dDMR_only,±0.0kb,FG-siren_04,1,510
FG-dDMR_only,±0.0kb,FG-siren_05,2,510
FG-dDMR_only,±0.0kb,FG-siren_06,1,510
